EAN,Product Name,Price
5901234123456,Product 1,19.99
5901234123457,Product 2,29.99
5901234123458,Product 3,39.99
5901234123459,Product 4,49.99
5901234123460,Product 5,59.99
5901234123461,Product 6,69.99
5901234123462,Product 7,79.99
5901234123463,Product 8,89.99
5901234123464,Product 9,99.99
5901234123465,Product 10,109.99
5901234123466,Product 11,119.99
5901234123467,Product 12,129.99
5901234123468,Product 13,139.99
5901234123469,Product 14,149.99
5901234123470,Product 15,159.99
5901234123471,Product 16,169.99
5901234123472,Product 17,179.99
5901234123473,Product 18,189.99
5901234123474,Product 19,199.99
5901234123475,Product 20,209.99
5901234123476,Product 21,219.99
5901234123477,Product 22,229.99
5901234123478,Product 23,239.99
5901234123479,Product 24,249.99
5901234123480,Product 25,259.99
5901234123481,Product 26,269.99
5901234123482,Product 27,279.99
5901234123483,Product 28,289.99
5901234123484,Product 29,299.99
5901234123485,Product 30,309.99
5901234123486,Product 31,319.99
5901234123487,Product 32,329.99
5901234123488,Product 33,339.99
5901234123489,Product 34,349.99
5901234123490,Product 35,359.99
5901234123491,Product 36,369.99
5901234123492,Product 37,379.99
5901234123493,Product 38,389.99
5901234123494,Product 39,399.99
5901234123495,Product 40,409.99
5901234123496,Product 41,419.99
5901234123497,Product 42,429.99
5901234123498,Product 43,439.99
5901234123499,Product 44,449.99
5901234123500,Product 45,459.99
5901234123501,Product 46,469.99
5901234123502,Product 47,479.99
5901234123503,Product 48,489.99
5901234123504,Product 49,499.99
5901234123505,Product 50,509.99
5901234123506,Product 51,519.99
5901234123507,Product 52,529.99
5901234123508,Product 53,539.99
5901234123509,Product 54,549.99
5901234123510,Product 55,559.99
5901234123511,Product 56,569.99
5901234123512,Product 57,579.99
5901234123513,Product 58,589.99
5901234123514,Product 59,599.99
5901234123515,Product 60,609.99
5901234123516,Product 61,619.99
5901234123517,Product 62,629.99
5901234123518,Product 63,639.99
5901234123519,Product 64,649.99
5901234123520,Product 65,659.99
5901234123521,Product 66,669.99
5901234123522,Product 67,679.99
5901234123523,Product 68,689.99
5901234123524,Product 69,699.99
5901234123525,Product 70,709.99
5901234123526,Product 71,719.99
5901234123527,Product 72,729.99
5901234123528,Product 73,739.99
5901234123529,Product 74,749.99
5901234123530,Product 75,759.99
5901234123531,Product 76,769.99
5901234123532,Product 77,779.99
5901234123533,Product 78,789.99
5901234123534,Product 79,799.99
5901234123535,Product 80,809.99
5901234123536,Product 81,819.99
5901234123537,Product 82,829.99
5901234123538,Product 83,839.99
5901234123539,Product 84,849.99
5901234123540,Product 85,859.99
5901234123541,Product 86,869.99
5901234123542,Product 87,879.99
5901234123543,Product 88,889.99
5901234123544,Product 89,899.99
5901234123545,Product 90,909.99
5901234123546,Product 91,919.99
5901234123547,Product 92,929.99
5901234123548,Product 93,939.99
5901234123549,Product 94,949.99
5901234123550,Product 95,959.99
5901234123551,Product 96,969.99
5901234123552,Product 97,979.99
5901234123553,Product 98,989.99
5901234123554,Product 99,999.99
5901234123555,Product 100,1009.99